#
# Sprite sheet data for MonoGame.
#
# To learn how to import these sprites into your MonoGame project visit:
# https://www.codeandweb.com/texturepacker/monogame
#
# Sprite sheet: sprites.png (256 x 256)
# $TexturePacker:SmartUpdate:15253a3fc1b82f16d09cb7cbd372bb7e:89b5295fa0628795bf6949a580657942:784d698da94b14b4fbde70f1a521a9a9$
#

+bomb_down;0;1;1;32;32;32;32;0.5;0.5
+bomb_kick;0;1;35;32;32;32;32;0.5;0.5
+bomb_pierce;0;1;69;32;32;32;32;0.5;0.5
+bomb_up;0;1;103;32;32;32;32;0.5;0.5
+fire_down;0;1;137;32;32;32;32;0.5;0.5
+fire_up;0;1;171;32;32;32;32;0.5;0.5
+full_fire;0;1;205;32;32;32;32;0.5;0.5
+geta;0;37;1;32;32;32;32;0.5;0.5
+power_bomb;0;71;1;32;32;32;32;0.5;0.5
+skate;0;105;1;32;32;32;32;0.5;0.5
bomb;0;1;239;16;16;16;16;0.5;0.5
bomb_spiked;0;19;239;16;16;16;16;0.5;0.5
bound0;0;155;59;16;16;16;16;0.5;0.5
bound1;0;173;59;16;16;16;16;0.5;0.5
ex00;0;191;59;16;16;16;16;0.5;0.5
ex01;0;209;59;16;16;16;16;0.5;0.5
ex02;0;227;67;16;16;16;16;0.5;0.5
ex03;0;155;77;16;16;16;16;0.5;0.5
ex04;0;127;87;16;16;16;16;0.5;0.5
ex10;0;199;95;16;14;16;16;0.5;0.5
ex11;0;84;91;16;16;16;16;0.5;0.5
ex12;0;102;91;16;16;16;16;0.5;0.5
ex13;0;173;77;16;16;16;16;0.5;0.5
ex14;0;191;77;16;16;16;16;0.5;0.5
ex20;0;217;103;16;14;16;16;0.5;0.5
ex21;0;209;77;16;16;16;16;0.5;0.5
ex22;0;227;85;16;16;16;16;0.5;0.5
ex23;0;145;95;16;16;16;16;0.5;0.5
ex24;0;120;105;16;16;16;16;0.5;0.5
grass;0;84;109;16;16;16;16;0.5;0.5
lb00;0;217;119;15;27;15;27;0.5;0.7777777777777778
lb01;0;234;135;15;27;15;27;0.5;0.7777777777777778
lb02;0;138;113;15;27;15;27;0.5;0.7777777777777778
lb10;0;99;35;26;26;26;26;0.5;0.7692307692307693
lb11;0;139;1;29;27;29;27;0.5;0.7777777777777778
lb12;0;170;1;29;27;29;27;0.5;0.7777777777777778
lb20;0;120;123;15;27;15;27;0.5;0.7777777777777778
lb21;0;155;113;15;27;15;27;0.5;0.7777777777777778
lb22;0;172;127;15;27;15;27;0.5;0.7777777777777778
lbr00;0;189;127;15;27;15;27;0.5;0.7777777777777778
lbr01;0;206;148;15;27;15;27;0.5;0.7777777777777778
